accuracy_all,accuracy_mean,accuracy_std,average_precision_all,average_precision_mean,average_precision_std,average_recall_all,average_recall_mean,average_recall_std,balanced_accuracy_all,balanced_accuracy_mean,balanced_accuracy_std,features,features_kind,features_name,method,precision_cancer_all,precision_cancer_mean,precision_cancer_std,precision_normal_all,precision_normal_mean,precision_normal_std,recall_cancer_all,recall_cancer_mean,recall_cancer_std,recall_normal_all,recall_normal_mean,recall_normal_std
[0.68571429 0.69047619 0.6952381 ],0.6904761904761904,0.0038880789567986816,[0.68571429 0.69047619 0.6952381 ],0.6904761904761904,0.0038880789567986816,[0.68571429 0.69047619 0.6952381 ],0.6904761904761904,0.0038880789567986816,[0.68464387 0.6981192  0.69271752],0.6918268643706792,0.005537211429697742,['thre=0.0001'],single_th,Th_0,MLP,[0.69645098 0.69489636 0.70540389],0.6989170777622791,0.0046305726332337245,[0.68507793 0.69594398 0.69727279],0.6927648994579059,0.005462513322207932,[0.65705172 0.71517767 0.6778208 ],0.6833500646912949,0.024049755690853103,[0.71223602 0.68106073 0.70761424],0.7003036640500634,0.013737009535850568
[0.77142857 0.75238095 0.74285714],0.7555555555555555,0.01187827741832998,[0.77142857 0.75238095 0.74285714],0.7555555555555555,0.01187827741832998,[0.77142857 0.75238095 0.74285714],0.7555555555555555,0.01187827741832998,[0.77120573 0.76357236 0.73992292],0.7582336691590966,0.013317402633366664,['thre=0.001'],single_th,Th_1,MLP,[0.77912962 0.77307433 0.74008954],0.7640978313783088,0.01715546904620539,[0.77029407 0.741653   0.7509127 ],0.7542865876813245,0.0119335689921875,[0.76065163 0.73409478 0.7472807 ],0.7473423716619302,0.010841874233087731,[0.78175983 0.79304993 0.73256513],0.7691249666562628,0.026259381214022798
[0.81428571 0.84761905 0.81428571],0.8253968253968255,0.015713484026367693,[0.81428571 0.84761905 0.81428571],0.8253968253968255,0.015713484026367693,[0.81428571 0.84761905 0.81428571],0.8253968253968255,0.015713484026367693,[0.81537183 0.85901902 0.81685889],0.8304165797003101,0.020234085938365377,['thre=0.01'],single_th,Th_2,MLP,[0.80645503 0.88492063 0.84063175],0.8440024693818385,0.03212199927531223,[0.83220779 0.81590909 0.79833083],0.8154825700615174,0.01383350116688568,[0.83898382 0.81488553 0.78611654],0.8133286331167158,0.021611036215434545,[0.79175983 0.9031525  0.84760125],0.8475045262839043,0.04547591536559977
[0.8        0.87619048 0.82857143],0.8349206349206351,0.03142696805273547,[0.8        0.87619048 0.82857143],0.8349206349206351,0.03142696805273547,[0.8        0.87619048 0.82857143],0.8349206349206351,0.03142696805273547,[0.80301817 0.87108364 0.83541754],0.8365064487904372,0.027798279248349874,['thre=0.1'],single_th,Th_3,MLP,[0.8059636  0.89792237 0.82130435],0.8417301056431491,0.040224472998143156,[0.82163534 0.8597807  0.84056353],0.8406598567124882,0.015572928359032057,[0.812144   0.85348982 0.83823559],0.8346231356051654,0.017071549011952458,[0.79389234 0.88867746 0.83259948],0.8383897619757089,0.03891186961563146
[0.6952381  0.78095238 0.66666667],0.7142857142857144,0.048562090605645536,[0.6952381  0.78095238 0.66666667],0.7142857142857144,0.048562090605645536,[0.6952381  0.78095238 0.66666667],0.7142857142857144,0.048562090605645536,[0.69642783 0.78702102 0.68001278],0.7211538761579592,0.047054745260824135,['thre=0.2'],single_th,Th_4,MLP,[0.72645884 0.77140197 0.67553288],0.7244645641421789,0.0391637869378757,[0.68522731 0.7900715  0.68181756],0.719038790075162,0.0502469981990247,[0.64896332 0.79687874 0.69225188],0.7126979792001554,0.06209280870179063,[0.74389234 0.77716329 0.66777369],0.729609773115763,0.045785843861453804
[0.7047619  0.7        0.67619048],0.6936507936507935,0.012498425196844099,[0.7047619  0.7        0.67619048],0.6936507936507935,0.012498425196844099,[0.7047619  0.7        0.67619048],0.6936507936507935,0.012498425196844099,[0.70491327 0.71120453 0.68437258],0.7001634602748705,0.011457423601817184,['thre=0.3'],single_th,Th_5,MLP,[0.71808972 0.7002405  0.69586615],0.7047321228532248,0.00961258918323348,[0.6979899  0.71309524 0.67815299],0.6964127094195743,0.014308640750469137,[0.68676236 0.73019313 0.65791604],0.6916238432070084,0.029706563905526454,[0.72306418 0.69221592 0.71082913],0.7087030773427326,0.01268315975646196
[0.61428571 0.65238095 0.67619048],0.6476190476190476,0.0254958387368397,[0.61428571 0.65238095 0.67619048],0.6476190476190476,0.0254958387368397,[0.61428571 0.65238095 0.67619048],0.6476190476190476,0.0254958387368397,[0.60984383 0.66868438 0.68623564],0.6549212856478078,0.032670011834099316,['thre=0.4'],single_th,Th_6,MLP,[0.63185046 0.65318414 0.70914656],0.6647270529209552,0.03259448531794296,[0.60085576 0.67890334 0.66470746],0.6481555195252193,0.03394437596241923,[0.5578036  0.70566836 0.64898747],0.6374864772219283,0.06091087286928418,[0.66188406 0.6317004  0.72348382],0.6723560940736872,0.03819508215251852
[0.69047619 0.66190476 0.65238095],0.6682539682539682,0.016187363535215167,[0.69047619 0.66190476 0.65238095],0.6682539682539682,0.016187363535215167,[0.69047619 0.66190476 0.65238095],0.6682539682539682,0.016187363535215167,[0.68976973 0.67116394 0.66897762],0.6766370946776229,0.009328972473132795,['thre=0.5'],single_th,Th_7,MLP,[0.75287879 0.663918   0.71317365],0.7099901462164476,0.036387784537659784,[0.66313482 0.6737451  0.68580314],0.6742276881434975,0.009260593074162955,[0.59790385 0.67419022 0.62523559],0.6324432193251909,0.031558041073038924,[0.78163561 0.66813765 0.71271965],0.7208309700300548,0.04668898396828638
[0.68571429 0.65714286 0.63809524],0.6603174603174603,0.01956956826339355,[0.68571429 0.65714286 0.63809524],0.6603174603174603,0.01956956826339355,[0.68571429 0.65714286 0.63809524],0.6603174603174603,0.01956956826339355,[0.68821803 0.66191718 0.65988576],0.670006989059957,0.012903824773022016,['thre=0.6'],single_th,Th_8,MLP,[0.69438221 0.6587037  0.66403568],0.6723738642951483,0.01571375232805682,[0.68722576 0.66494172 0.6696337 ],0.6739337286754168,0.009592089035743254,[0.67910686 0.67499225 0.68942356],0.6811742222719475,0.006070209562944146,[0.69732919 0.64884211 0.63034797],0.658839755847967,0.028244006034010966
[0.68095238 0.7047619  0.6       ],0.6619047619047619,0.044839513942303275,[0.68095238 0.7047619  0.6       ],0.6619047619047619,0.044839513942303275,[0.68095238 0.7047619  0.6       ],0.6619047619047619,0.044839513942303275,[0.68580062 0.70029859 0.60323166],0.6631102914279766,0.04275227310163721,['thre=0.7'],single_th,Th_9,MLP,[0.69543573 0.69637069 0.60161111],0.664472511827158,0.04445136154437877,[0.68902098 0.69788226 0.61406417],0.6669891374535336,0.0375980463214504,[0.65427204 0.7114096  0.64921805],0.6716332292773494,0.028201718803427006,[0.71732919 0.68918758 0.55724528],0.6545873535786041,0.06978345760629859
